OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7716,7647,4845,9113,2754,6762,5508,2934,2390,5884
+,633,4692,4550,4786,2975,3312,3732,7209,6749,3123
+,940,7459,6617,9154,9002,8696,872,9587,6094,3018
-,8234,2585,3679,6260,6594,6591,8830,9810,8306,8671
+,7036,527,5954,5285,3520,4160,6709,6767,5281,7877
+,5348,7826,371,5643,8811,4825,79,6639,606,6601
+,4509,4098,808,4845,6953,3118,5637,2385,238,6889
+,4906,822,186,2879,1340,8981,3902,8569,8578,8398
+,2195,9735,4610,6018,290,8713,6661,8529,5877,4940
+,9496,5564,1231,1165,3585,2542,8152,96,5322,965
+,4417,460,9108,9384,9046,9146,2093,5417,6852,3467
+,9594,6714,8430,1827,6200,8611,3665,9770,7278,435
+,4309,152,4110,5583,1309,9081,1002,9609,9509,7806
+,1712,7667,4112,4845,5944,6430,919,2306,4435,2457
-,1397,317,1386,9602,9210,1317,9943,8982,5523,3552
+,3896,7031,5741,764,1349,3626,4439,3367,5730,8469
+,5561,354,3255,7855,2158,6829,6121,7178,853,1129
+,4379,3080,9797,8105,2638,2742,3171,8291,8589,8622
+,8451,453,58,9970,5219,7454,5536,3185,7524,9691
+,6423,563,1074,8296,3156,2070,3041,3090,6262,2691
+,9830,6962,4674,5284,6908,669,2577,3688,2034,7657
+,4171,3489,9841,4234,881,8840,1045,4702,8676,2013
+,9845,6889,8907,3013,4506,2761,973,5814,2366,5891
+,6678,863,5276,2383,9877,4157,1105,2817,5658,6656
+,3391,4711,9190,7344,7904,7899,3912,1475,1546,8531
-,5081,8276,8671,3469,6662,4071,3375,9490,7984,3383
+,7329,9653,2153,755,4477,2828,8899,1006,1815,5138
+,5242,1738,4484,5092,2002,2327,5528,9917,6366,6625
+,5366,7350,4916,4142,4909,544,2047,2816,8894,9785
+,5807,7586,6839,7122,8401,577,7138,1202,3576,6278
+,9317,9147,9653,1284,5539,2425,8226,4088,4706,6335
+,8065,5998,717,4042,8345,1234,9576,686,1798,9805
+,920,832,8797,1105,3371,742,3227,6029,2321,6069
+,6469,703,3818,2671,5079,3437,6903,7631,1783,3423
+,5787,8175,6996,6796,4386,9485,3582,2307,4680,3816
+,4539,4540,6740,9695,2012,6310,2245,9442,3170,8093
-,9149,2675,3150,3185,8575,9233,3880,3603,2446,8228
+,9604,4505,8863,9152,6896,3609,3345,459,4088,6197
+,328,3952,1471,7991,6994,6411,6645,6525,2748,9552
+,9586,1700,1791,1023,9966,8835,3366,7339,715,4256
+,3802,2381,5766,1901,4820,7288,4697,8816,3402,7672
+,6321,6382,5277,6980,2399,3338,6205,932,5485,5189
+,9503,428,8810,9367,8534,9586,8614,6378,1147,149
+,8820,4175,3262,3964,2381,8019,6567,7179,4139,6126
+,4638,2237,1388,3180,1998,7596,7512,227,2835,2480
+,6414,2269,2980,9339,7577,8059,6290,6042,4863,2648
+,9062,362,246,6835,2140,9431,3120,9308,110,5529
-,4051,9976,189,9388,6084,6908,5636,2710,9655,8906
+,2588,5399,6368,3861,3326,5779,9438,4873,3034,1965
+,9743,4559,9928,1687,2140,4433,8260,7203,3619,5101
+,7218,9145,5905,135,2255,8302,1058,7604,4291,4682
+,4956,7420,2619,4890,2841,8871,4826,1909,902,7434
+,4301,208,8504,6586,5884,5998,7645,8238,248,8936
+,7227,2017,2147,4745,2650,6640,612,1444,1360,7742
+,6582,3209,6513,5532,9658,1400,7206,1376,8300,1707
+,2015,8941,9603,1877,373,4754,8922,2127,5941,8973
+,1611,8398,5116,2432,2014,5977,6892,2733,5436,2209
+,803,2703,4698,6723,652,3677,7144,8997,5736,5322
-,7157,2361,5592,5851,1112,8708,6832,3272,5149,7425
+,5286,1894,4564,9464,6367,3738,1758,7412,5088,1506
+,5658,5099,6452,7598,6086,4718,5594,5161,5979,7651
+,7987,4672,9292,2021,5030,1715,9407,2880,7729,4643
+,3696,604,630,9310,914,8651,1440,6596,1228,8944
+,4407,5358,9162,1596,158,3055,2734,4538,6938,99
+,2344,940,1171,8570,8256,9852,3633,6410,1286,3838
+,748,5069,7495,5160,6924,5283,4221,2166,911,7829
+,204,8677,79,545,4647,6916,1129,9328,9743,2414
+,5929,340,2294,1219,6458,2779,533,3048,4621,8329
+,6116,5932,7652,2010,3680,8660,7238,1932,691,4415
-,357,5139,4637,1874,7506,6424,7003,739,6538,6284
+,3618,8514,8900,6994,1419,5823,6605,1683,974,4514
+,3942,7018,4307,91,2889,8219,214,7368,6171,3494
+,3610,7059,4720,2072,6034,5829,6029,1146,5906,2356
+,2453,4929,2824,4101,2625,4924,7916,6856,436,3398
+,6455,8019,911,4714,5296,7913,548,1393,6564,1613
+,5251,2948,3187,6036,4135,6114,7529,6041,4790,7295
+,4744,4227,5973,4502,9270,2833,4331,3267,6989,5027
+,6605,4888,6152,2431,8193,875,3152,3866,3320,3644
+,1784,6329,2645,3265,2187,9313,7465,9673,2881,7055
+,6024,3476,7177,7412,328,6451,8204,3059,1115,7319
-,5426,4325,8575,9237,185,6406,3377,3245,207,7727
+,8321,605,2908,9579,9558,4606,7873,8753,4387,7583
+,8990,2293,9448,7057,4545,8696,723,2011,4388,649
+,3057,7693,5267,3910,6403,6754,8756,2749,8864,460
+,6971,7013,4696,9208,9235,1736,9214,7781,4433,3653
+,5996,4535,4948,6642,7748,9812,656,8725,8043,9436
+,8727,9447,9970,4299,723,2485,5503,271,9444,3949
+,2262,6756,8717,2319,2914,980,7775,9970,6351,242
+,9886,7431,7035,6733,1091,6638,1909,5238,6099,2895
+,6007,2982,8330,1197,8675,7702,4021,3321,3831,6580
+,906,9720,1025,9333,552,7708,8162,6872,7519,5732
-,5798,5291,916,4510,6782,9088,5826,6656,1542,4583
+,2385,4374,3267,2478,4127,9160,2446,1907,5535,4877
+,9882,5432,5807,8465,6323,4292,1228,8034,5767,9339
+,5607,9965,1674,67,2137,1163,889,1740,1562,9854
+,6769,5093,5511,104,1530,2523,7380,136,8515,5003
+,6852,4804,4313,2027,4434,8709,8182,5734,4569,8191
+,6861,8491,2474,7319,1967,4841,81,107,7511,5226
+,6234,4717,6703,7717,1874,7599,3490,4389,8846,5561
+,2837,1780,5431,166,9369,2834,250,5630,2413,6025
+,1024,7054,3656,9841,9906,6355,6463,5592,7007,1354
+,7655,95,8488,5658,9555,7671,4823,2091,7300,2072
-,9820,4500,5596,8135,5166,3947,4603,2260,5084,1109
+,2733,982,2420,4772,2001,2351,5751,6993,8089,85
+,9740,8600,4492,3729,659,3062,8092,5449,6552,6700
+,8102,1995,6757,4182,1965,9478,3056,2255,3178,3700
+,4694,2752,4285,5401,4773,6610,6004,168,6360,5445
+,7342,5695,6995,4578,711,7581,7190,3477,7776,9593
+,9167,6200,3869,5313,2170,4722,4756,8033,4525,3650
+,6335,9418,8314,4631,8529,505,2763,5108,1716,1170
+,1115,4332,7522,7837,7243,6102,4102,3604,3963,3501
+,6557,1892,6839,6557,5453,3571,8815,2161,5265,7906
+,6311,5033,2649,1490,378,9127,7389,2011,3819,7546
-,5418,998,6506,8055,9165,992,8363,5105,7635,4569
+,6457,7164,8551,6795,67,9090,6936,2049,7346,9310
+,4682,4505,4201,2015,8487,6131,840,5999,1325,120
+,1799,4494,5562,2325,6926,5647,3007,2121,714,6527
+,6281,2383,9735,7175,1078,2289,8897,6532,9829,6659
+,9571,9785,2410,89,2062,5362,3557,6838,7408,5392
+,9267,6207,8629,8963,7118,3239,4071,5300,3253,4697
+,9158,9686,1058,2095,7096,1286,9707,7734,2115,3782
+,55,2954,3937,1995,7835,7559,7127,4598,3192,7329
+,8518,1266,4600,2369,624,4590,6680,10000,5858,5770
+,8944,6986,174,3414,4818,6967,4047,668,1170,589
-,7500,7414,2823,2221,2989,2486,6850,3307,4224,2491
+,8526,8285,3906,882,8302,2675,2684,120,9413,5351
+,9645,8328,1608,3685,4355,8867,2566,5548,6602,2837
+,6246,326,3809,8952,6627,3569,4569,5165,9926,4018
+,8781,2047,9232,8686,8038,8549,9802,3771,1461,9643
+,6377,818,3797,1765,364,2137,5400,8093,4486,562
+,2835,3635,2053,7757,1935,10000,8019,9956,5854,7328
+,2554,9792,6312,7056,801,8358,1003,8082,3949,5115
+,4141,1265,7849,5719,9272,6792,422,4766,2720,5446
+,8247,9970,9716,8272,5756,8642,1061,8156,3932,4688
+,2301,3585,6969,5283,8700,4628,4753,6983,9309,4178
-,340,7167,226,9932,7044,4544,1325,7679,5608,3612
+,9665,4641,3340,9493,6745,4753,2267,6111,3256,4788
+,3127,8221,2889,4510,8414,6803,6101,5340,1673,6274
+,7975,495,4217,499,6606,3391,946,707,1250,9917
+,4061,3835,2657,9536,9691,4680,2859,4757,1969,162
+,1392,3600,2491,5889,6164,6079,2550,2939,6983,2903
+,1831,9013,1944,9388,9182,9543,817,1416,4416,173
+,5941,1349,8153,7361,938,3398,1148,2259,2800,5584
+,350,2680,4434,6432,3351,7959,6129,9066,8615,3508
+,9505,4409,749,5266,6242,2463,194,1886,3449,780
+,282,1749,6351,4544,5628,5951,5172,3533,8405,2752
-,1348,4193,4117,2821,3931,4834,8983,2991,5542,7174
+,8527,6831,3151,5711,906,9614,5342,2049,9859,3873
+,7848,6913,4078,5520,3324,9063,5489,5667,1203,572
+,6780,294,8380,9922,8767,1708,6715,9321,8093,106
+,6470,3669,74,8610,3463,5993,872,4157,6645,743
+,4921,6534,1185,1530,1341,3109,3120,7638,3905,3351
+,3758,6840,3213,4487,5479,6141,3331,8018,6008,4471
+,4139,3744,7760,7889,5353,5516,4162,6615,5323,9317
+,5030,6264,123,6356,4737,5175,4296,5102,1700,4981
+,3448,3289,5530,3642,8295,5079,880,501,1532,8719
+,8765,4543,5162,3434,1553,9449,2295,4345,782,7304
-,7164,4633,2649,1733,6100,223,2058,9839,1178,1449
+,4980,920,7723,3948,7292,8195,2336,1779,2574,8275
+,5723,8225,4277,6993,1552,5215,1344,2263,3752,4378
+,6152,4337,9346,8573,2803,8297,3081,2714,2655,1756
+,6114,3719,5357,8505,2072,3812,5142,4631,3533,3631
+,3734,4948,5264,4452,8408,9618,5068,4582,202,312
+,7969,6647,2703,3816,6031,9986,8272,6309,1604,1568
+,1562,1698,9505,7465,9592,2370,5176,7567,8246,1506
+,8867,7289,4500,4244,8832,1976,6074,731,6300,7249
+,4290,2357,4284,8995,1449,9561,4262,5457,5673,8225
+,4185,8864,3100,798,6753,2132,4776,6754,7666,5647
-,7489,1730,2254,8454,252,9060,9327,4132,910,5814
+,1580,7424,3644,2148,6044,465,4265,1279,1201,7267
+,4184,9452,4439,8083,5532,2286,2922,2007,3238,1771
+,2092,3121,7879,2350,5214,1043,8138,7067,7623,7889
+,7002,1702,6145,6147,952,3301,6199,5109,91,6296
+,45,5880,7057,4654,3510,1728,983,2556,4021,5265
+,8214,1206,934,5581,7132,3482,8593,8030,8742,7382
+,8255,3250,3534,318,7981,3792,8689,37,1854,2048
+,2511,2699,4778,1155,4423,1186,3052,6671,2627,2988
+,2382,450,6470,6057,1560,2440,2747,6185,8973,6060
+,692,3059,7676,2761,3585,3654,7711,2191,7221,6958
-,4867,8704,154,7820,7652,5904,2271,9990,9132,9534
+,1276,2252,323,6866,6881,289,860,8325,8975,1942
+,3924,3541,1970,6168,7201,9305,5170,8651,9633,2489
+,4251,1965,5884,693,5646,6577,210,169,3854,7977
+,817,1262,3377,8114,5168,7554,7357,2367,1319,5497
+,9211,5125,2777,6032,2020,9403,3470,1054,8391,2222
+,1505,4279,7040,1353,3152,3637,6269,8640,7287,4569
+,7399,6619,9671,6384,2136,9506,7609,7165,9499,5979
+,4322,8303,892,2995,6494,8230,7923,5568,1029,9065
+,2923,3465,191,3092,3007,4667,6803,9672,266,761
+,3988,1856,9537,523,9103,3724,3589,1593,3233,8253
-,5628,9323,3501,8703,7490,7503,5529,9624,7188,254
+,5728,3737,2395,7256,1874,314,578,1485,5389,137
+,562,7389,4902,1383,2608,2369,2697,5192,135,6167
+,9285,2524,5365,1415,2504,4140,3373,1386,9888,3406
+,3053,702,308,1344,1669,8498,1511,1693,4577,3797
+,742,3895,7325,670,1066,6211,3758,1023,1887,7992
+,9374,9283,9920,8038,5075,609,4533,8252,1205,6874
+,4784,5114,8697,8715,9550,5971,2830,5386,8403,2390
+,6278,2377,8977,5515,7987,6349,4333,2921,2506,600
+,5590,8039,9652,1571,7122,3909,3353,7677,289,7120
+,6074,9593,320,9895,9153,4930,4525,9095,9234,691
-,6396,8482,1453,3811,8800,8458,5240,9257,7508,7601
+,6514,9544,4273,9019,6737,2787,7875,8452,3654,7354
+,9999,2474,6408,6100,7755,2248,1533,4171,9231,933
+,1807,2178,4579,4362,6899,7866,1574,4678,2143,814
+,1146,37,5233,4496,2678,4022,5918,349,4255,6203
+,4419,6509,9298,3848,4954,6039,5353,3103,6143,9502
+,6308,8032,8783,7910,2053,6563,6674,7963,3493,5739
+,5918,9014,3950,1055,8217,380,7949,1623,1430,8653
+,5716,7501,17,3700,386,7492,4758,2920,4707,8572
+,4641,5783,1132,7302,6647,3040,936,531,7638,297
+,2142,8251,5841,5418,9665,5783,1644,4513,7317,9042
-,6436,8036,8955,3003,5217,5200,3554,5954,1264,8208
+,2734,2897,5027,9630,7576,3784,8943,5298,4860,239
+,5516,5358,7785,9328,5531,5215,1558,4196,7351,3448
+,501,9079,1610,196,2627,7151,8206,1780,3075,7588
+,8737,1278,5112,5362,6842,3948,9059,8889,9385,1888
+,4797,8652,5693,8312,6864,7125,3117,974,2735,3971
+,4218,577,9616,7430,6020,2968,8597,639,8208,1588
+,2031,4638,5866,5711,1951,2186,6154,2779,2938,6745
+,5410,153,8958,5281,4924,2246,4926,4119,6398,7829
+,9426,4533,1778,8344,7338,99,5100,8376,2091,8908
+,8299,2410,9327,8741,285,4740,8070,6655,5651,9792
-,8402,7553,6593,4833,6429,3234,7281,8103,2985,1485
+,3794,7338,8035,780,3178,9776,5444,6171,7177,3351
+,1025,6797,898,195,728,437,7132,5298,8024,3260
+,9674,4745,1140,1769,4654,8808,6386,888,7692,5711
+,9452,339,3552,187,2477,5504,8673,4317,2773,6423
+,9329,8482,1394,8655,5056,906,5138,503,4237,818
+,2136,7086,1504,753,7414,7417,5610,5468,1617,9897
+,5828,2967,8457,7690,742,2615,9507,6093,9499,2119
+,5168,8120,4391,185,6939,2254,4839,8941,1253,9656
+,9934,6809,6109,9163,2803,3386,6951,2965,9462,3821
+,1461,1127,829,7153,2029,6506,5433,848,2799,5598
-,6386,8809,6015,5515,1680,2322,4128,6338,4994,7263
+,4399,1418,969,6457,3303,850,2565,856,8079,7522
+,787,7477,7945,2420,5168,6012,5732,8605,7261,4521
+,4716,7663,2710,2436,9405,5513,6045,804,3064,4698
+,690,5294,342,4124,5132,9508,8359,3807,6921,9413
+,1912,192,3235,7123,5263,7136,6683,4086,1332,2770
+,300,8567,5358,8799,4163,1273,1015,769,4693,4590
+,3195,5837,2179,7151,9880,981,1801,7554,4369,7099
+,5630,4490,1574,4519,7929,4051,6244,3585,2733,8537
+,9565,6352,7051,4612,6267,4233,3389,3540,5774,8703
+,5782,9967,7577,1983,5256,5031,9677,3931,673,6904
-,641,9337,6979,3252,7590,175,4771,2468,7725,2097
+,3754,9401,4381,1508,7067,9146,9323,1655,7616,6753
+,9641,1530,9452,2664,974,4727,8078,8560,1959,6418
+,8732,5424,7461,2640,2891,8342,4754,9005,150,4656
+,9789,9583,3797,3759,4560,9459,8840,9715,8821,2230
+,7025,3338,4092,5621,4618,3367,8924,1634,2790,9034
+,1258,5904,156,3247,4087,571,8734,230,7832,9771
+,7401,818,9763,7095,1438,9092,6703,1933,4580,8566
+,5776,5852,4851,4528,9444,7757,946,9729,9794,5752
+,6601,4269,1320,6700,9519,5574,1664,5335,8540,8040
+,1689,5343,8727,578,4212,3072,1651,9778,7194,9558
-,4484,1805,1956,7861,5661,5232,2952,4624,5412,6116
+,4873,7125,6415,5618,6555,5228,5255,3733,2447,5917
+,9776,2239,583,1869,6506,4782,995,9135,2663,868
+,1514,3089,9652,8527,6854,8428,2281,1698,6075,319
+,698,8908,4984,3710,7264,9819,1357,6485,5045,4812
+,3461,1051,1400,8803,5039,5380,3203,2566,448,6783
+,2741,5314,3581,780,5908,2461,6234,3744,8685,1619
+,7764,9136,6680,1986,1400,5909,9970,6151,4661,1877
+,6662,2254,6633,9802,4272,4536,6808,4303,2178,5082
+,8007,710,3448,9742,5356,899,5394,6550,4087,4076
+,8609,124,4888,7519,4085,5529,3990,2215,2422,5449
-,8093,6751,1755,6851,9004,2806,3799,1660,5862,3106
+,5511,2454,4027,1440,1456,5347,2548,364,8922,1851
+,9860,3129,2567,9443,7886,5313,6353,5449,5838,4876
+,2273,3848,7202,9970,5688,9972,3797,6996,3159,7547
+,8155,1686,1932,7208,4529,6626,3433,1292,9172,6711
+,7712,9314,2650,1375,8289,9326,2725,6364,8015,221
+,8739,8841,2429,5493,5427,6412,7090,6207,5954,7761
+,8110,275,6311,8793,6463,2438,6819,1041,3115,3112
+,5826,8784,8867,3274,8288,1755,219,1677,4514,6546
+,4145,6436,8451,3339,9894,5299,4519,9792,3165,6257
+,9918,9915,4802,394,4707,6383,7294,7901,743,432
-,8699,8869,7245,16,6950,5457,5545,555,7404,5624
+,7568,9596,8903,7927,9718,8866,9970,6452,4586,2338
+,8305,8487,8494,6851,9746,445,9515,5082,4033,1693
+,3156,823,503,3207,4987,6795,5980,8401,9968,6144
+,990,5645,5614,3040,3089,8599,5942,7591,1897,7685
+,6584,603,1677,1438,4700,3819,2905,9885,907,2361
+,1175,8226,910,6268,8899,9968,9155,1659,7179,6402
+,7976,7940,7883,7549,7093,3252,3666,4081,4132,1484
+,617,9781,7303,1803,4567,1379,5963,2747,2979,1570
+,1973,3153,4260,1662,5754,5680,6520,2543,4785,3621
+,4266,3573,7264,4111,9802,9245,7223,5481,4668,6724
-,7348,1144,7474,9379,8005,1849,2707,1106,8429,6999
+,66,1571,1835,4676,376,4616,6277,2519,3446,9624
+,9513,126,2477,2855,9235,9190,5211,2598,9165,9245
+,5611,5524,6370,790,4832,8498,3199,291,1203,934
+,8653,1991,7487,693,4428,8796,58,4091,9836,7618
+,3821,8745,135,7928,3140,8372,6544,1532,4314,6294
+,6544,1497,1430,1153,7817,7227,3772,7847,9540,764
+,192,7430,9356,7534,2529,1568,6886,409,894,708
+,9582,236,8807,8905,4024,4603,1462,5464,1158,4157
+,1833,6438,2271,5060,3783,1162,1277,2675,2499,4633
+,1658,1372,8322,6087,6989,3145,9169,6046,9520,7746
-,1567,1499,411,821,3410,1186,8208,5389,9529,3991
+,4924,8190,2029,2609,7268,2244,5818,9302,3243,6092
+,3958,2151,2631,1903,8939,2746,4913,5019,567,7746
+,9925,2939,7531,9979,407,2535,7388,712,5004,9345
+,5939,4042,1769,6673,9290,7622,6404,7897,9891,792
+,1916,5721,6160,4706,3874,7058,4669,2345,2676,137
+,102,2177,3280,9962,2218,2023,4293,968,8056,8270
+,763,6421,9372,6127,6820,4274,6604,2791,9942,9603
+,1300,381,7251,2668,9821,9226,1961,8724,2964,5793
+,7536,1299,6708,8444,9174,3684,6125,4102,4125,2804
+,2508,3360,8865,7437,6392,1881,9037,7728,4470,2160
-,4661,6539,468,801,1989,9901,6131,3413,458,6082
+,7783,6939,9033,8025,1942,6528,7546,930,5626,2903
+,5864,8818,7631,1409,7610,3449,5779,3937,6922,7850
+,1504,8048,2440,8411,2301,4210,2899,6493,8390,2793
+,3814,605,3525,7322,7371,1134,8091,2800,5449,1085
+,8303,2709,6907,1895,6453,5038,4288,3256,4766,1701
+,6519,5453,7015,6604,5915,8778,5242,2282,1601,2273
+,5963,5562,2822,9848,4296,1843,5916,5633,6793,7502
+,9278,370,8171,7862,1779,1355,2772,4172,1182,6217
+,74,3885,6990,1471,8069,8570,7142,4093,120,8002
+,198,1994,8402,7598,1397,9333,5380,5063,7684,8550
-,9061,2002,9778,2325,4597,4733,578,9528,8249,8514
+,5301,9859,5771,1447,8296,1891,3667,4592,4501,6048
+,672,291,5260,504,8528,3336,8119,2810,9126,3896
+,9800,6871,7063,1074,4042,2220,5502,2761,4640,6912
+,4515,5481,654,950,9846,1943,8379,3282,8110,902
+,3715,6391,6725,1209,7755,5000,9762,1327,1543,2194
+,8733,1643,5053,7927,7670,4163,8486,7500,1834,5376
+,7570,2756,1410,9781,6612,7910,9784,2031,8681,4358
+,7272,7215,5267,5682,4941,3021,8684,5248,9589,6960
+,6612,2015,5598,3338,777,2960,8700,4191,508,8676
+,4116,8961,4434,9176,762,1807,9402,5010,88,1897
-,4402,542,5221,7088,9730,7413,5936,5335,6148,3745
+,149,7529,2651,9593,2910,5961,9368,5920,3008,1370
+,4385,4024,796,7045,2351,5222,7499,4593,9608,4291
+,6951,3199,2792,2022,4754,538,7825,626,4938,9745
+,8014,6116,8238,4228,4073,186,5885,4675,1381,2852
+,4167,2809,8203,6496,1016,506,5448,4529,4644,2634
+,8911,8958,5528,3607,8930,8713,5959,3411,682,2909
+,3843,9693,1245,7892,5165,7189,1556,1988,3941,8560
+,2854,8327,4143,5563,4596,8779,2281,5151,1236,2046
+,7789,2655,9505,1427,582,5049,240,1962,4360,5232
+,5849,5312,8304,3581,7471,8852,2046,8105,4425,5664
-,8051,7343,1675,2767,4712,1901,9597,5744,8028,778
+,3691,7504,808,8969,3278,156,8410,3450,5498,8186
+,3551,6527,1354,7202,749,3589,6681,5698,3207,3570
+,5338,5504,1307,6,363,465,4937,2827,6781,78
+,1939,9147,3879,6995,8000,7000,6207,2868,1485,2070
+,788,2581,4927,9896,3243,869,2267,5012,2157,6928
+,3389,1739,3923,6817,1719,8307,8787,2174,7510,2396
+,5834,1397,5843,8740,295,34,4668,7712,938,7471
+,5799,6825,9020,2366,1022,6511,629,2076,2876,8491
+,1500,3598,9301,4196,7098,2858,7417,7727,6403,8648
+,9002,4859,992,9501,1477,8721,6714,5115,7281,572
-,109,8211,5776,4351,5357,4508,8568,3589,9313,7656
+,4760,9134,4218,7478,9084,8084,8969,8073,7621,4765
+,7251,9834,2071,6785,7901,9878,2423,2654,5590,9510
+,9797,7384,2309,4365,8747,6535,7735,8787,3352,8292
+,1048,1344,1489,4027,4680,916,882,7191,7355,7864
+,6933,7090,6759,5654,1742,8983,7005,9637,704,9200
+,9684,763,5997,7617,6650,4829,9456,6350,934,6987
+,2257,6655,6868,4598,1157,4847,2670,7616,5978,8943
+,3918,2401,7435,1438,3023,2998,6697,6211,6450,2879
+,8089,8582,5792,5652,3082,5605,4339,8123,7743,5637
+,253,5886,865,2410,3039,5757,3616,5033,3731,5291
-,7884,4755,9082,8177,996,8167,7608,6540,6933,7415
+,1267,5640,1751,6831,5098,3838,8171,787,8207,9287
+,8660,4910,8215,9247,6107,2287,8171,8014,1192,8931
+,8811,6130,8086,7747,7014,7275,9478,5732,6998,3261
+,3402,7930,1311,9144,4245,5557,8070,8917,4250,8531
+,7357,4297,9993,4576,9548,9583,9596,9149,7557,1491
+,5069,2282,9867,6,8585,2703,5283,3731,2624,9715
+,6509,6263,754,4116,7637,8087,5582,7269,8585,2307
+,24,6062,1295,1938,4860,2417,9675,7422,786,8991
+,6735,6667,7228,6209,6229,5775,5138,361,4913,8922
+,3687,3516,7535,8088,9486,8646,2178,5337,3302,5645
-,5247,6436,7465,8834,3645,6075,2342,7336,3243,2935
+,755,6447,2652,5976,8548,4477,4339,6497,962,3899
+,4960,5993,5803,7651,1345,6203,4080,1429,1783,4970
+,9365,7273,3085,3758,229,7376,3991,2096,8735,9903
+,1538,4328,7344,275,323,7344,5295,2065,6111,6590
+,4052,7953,5393,2077,5756,4945,1052,9003,6727,494
+,7575,5160,3640,3825,3783,4283,5942,5161,3794,1568
+,6975,6403,3050,3428,5882,2913,3534,7841,8645,2258
+,1706,5745,652,5689,8434,234,1962,2934,358,8596
+,8091,2250,152,2198,8969,1671,8545,1462,1526,5341
+,1671,68,7957,9395,4216,5709,4898,3161,3235,5160
-,5582,4370,1388,5661,9365,8411,7704,8906,5813,8419
+,4352,9241,8369,914,3457,206,8686,2465,3412,6668
+,9212,2262,1578,352,8037,2099,1685,626,8083,7727
+,9722,1082,8304,6664,9116,9689,3422,2026,3985,9832
+,9256,5731,8860,8790,5285,5474,4680,3207,8573,274
+,5793,1925,3928,3726,54,6927,3208,5762,9220,3096
+,8224,2732,9669,4932,8774,6027,1547,9184,9772,272
+,3625,8633,3263,6557,1423,6799,1457,704,6576,4773
+,6883,1564,9045,4924,348,6031,3918,5999,1498,1043
+,9223,1999,7765,9277,5826,9894,9993,7966,490,3621
+,974,3888,2103,9310,7084,5790,913,6446,1418,7134
-,806,1937,1796,5753,3930,3105,3675,9762,820,4877
+,1023,7127,9088,2632,1081,7059,1170,4432,8456,4024
+,4488,8254,5500,9745,5215,8126,1653,4232,4210,9558
+,1296,1358,4340,5194,5977,1989,5160,4868,2634,8987
+,7923,8693,108,9335,5743,1682,7437,9300,493,1744
+,9923,4071,5294,3123,3544,6708,9011,1996,1594,4013
+,8782,4447,1566,3189,7635,1465,5716,6798,5466,1141
+,5955,9995,7279,880,8922,8264,2377,7930,1075,4215
+,6400,4416,7441,3359,5353,2970,8197,7756,5965,5503
+,452,2946,5074,7687,9909,1871,9998,2051,7427,5834
+,998,7281,8955,4066,2137,9013,1845,5817,6656,3044
-,312,2156,4975,9208,9652,9420,6501,8688,8579,4384
+,7237,2060,7205,3184,6014,723,3023,1600,3905,246
+,8221,2817,6401,2344,9626,7268,5777,7137,2845,1802
+,356,6580,2577,4700,5738,195,1361,3593,9700,1035
+,8627,0,6045,1113,6950,9488,1146,1974,1798,3321
+,4647,1613,1742,3664,8220,6664,5446,3214,5439,5196
+,1113,9460,3040,1748,6781,8324,217,5902,5881,6177
+,8130,3444,1535,5675,9432,6252,1595,1221,6634,7647
+,967,2215,9478,7291,9397,8691,1230,478,6259,6407
+,8216,7520,1593,5682,3465,386,4989,6996,4092,2459
+,5922,3505,1794,4106,8908,9148,7056,5926,3607,89
-,1443,8585,4307,7082,8861,244,8221,6701,1728,9510
+,3628,7898,653,4625,7688,7294,4003,6704,795,6802
+,7328,2122,5923,7637,3547,3991,1122,352,6085,6808
+,847,2842,8842,5082,8710,9126,1175,2396,2912,1938
+,9445,5699,3591,7971,727,3948,6332,5980,8536,2251
+,593,6920,8482,8697,8504,2365,2939,7410,1197,3179
+,5781,7740,13,3006,4583,7118,9223,299,2073,8321
+,442,1217,9,4818,6496,8444,8108,4278,9922,6681
+,6144,5773,8726,142,5256,9224,2136,4996,7114,2525
+,9461,7315,9956,5072,801,6732,3163,1355,2304,7717
+,7159,413,4559,7938,1132,764,1424,4761,5245,151
-,418,4707,2630,1437,789,377,5150,1338,8471,8790
+,6686,9505,4124,4715,4257,1158,7243,5114,6410,987
+,8986,1968,4192,6344,4555,453,5597,1087,2929,867
+,6799,7636,7167,9678,9626,2680,9825,4650,3276,7822
+,8644,373,3767,8994,7550,1467,1280,9214,2577,4059
+,3594,8751,7231,6049,8945,964,3469,5342,3127,3417
+,6494,4930,6444,5367,48,5485,3691,8420,8631,3771
+,7861,9325,6338,3909,4009,3275,5015,4749,6445,7239
+,6063,9584,3621,9134,5950,104,314,8906,3652,4320
+,6581,113,1952,1359,5376,1771,7020,5516,1705,3087
+,6666,5570,2188,1736,3212,8972,8233,6315,5436,1371
-,6437,6057,2618,5326,2514,3503,1740,9101,1409,1222
+,4106,4823,1706,8017,5751,2568,1880,840,3134,8268
+,6939,7738,6224,5723,2115,389,1254,5225,5985,8586
+,7252,6409,7379,2667,8304,4916,1616,5219,381,6835
+,3561,7938,5442,8360,4031,4838,2468,3002,4566,4649
+,5002,1265,6241,2306,9491,744,7373,3214,1982,7124
+,2659,5364,8236,9572,5126,8564,981,3233,3907,1549
